Name,Publisher,JIF,Quartile,OA,Scope,Subjects
GLOBAL ENVIRONMENTAL POLITICS,MIT PRESS,4.0,Q1,No,"Global Environmental Politics examines relationships between global political forces and environmental change, with particular attention given to the implications of local-global interactions for environmental management, as well as to the implications of environmental change and environmental governance for world politics. Each issue contains several full-length research articles, and may also contain shorter forum articles and/or a research note. The journal seeks to publish on a broad range of issues, from water to waste management to climate change. Topics covered include, but are not limited to, states and non-state actors in environmental governance, multilateral institutions and agreements, innovative governance arrangements, trade, global finance, corporations and markets, environmental (in)security, science and technology, and transnational and grassroots movements. Contributions come from many disciplines, including political science, international relations, sociology, history, human geography, anthropology, public policy, science and technology studies, and environmental ethics, law, and economics.Join the conversation about this journal","Energy; Renewable Energy, Sustainability and the Environment; Environmental Science; Global and Planetary Change; Management, Monitoring, Policy and Law; Social Sciences; Political Science and International Relations"
INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS,WORLD SCIENTIFIC PUBL CO PTE LTD,1.6,Q2,No,"The purpose of this journal is to provide a unique forum for the fast publication and rapid dissemination of original research results and innovative ideas on the state-of-the-art on computational methods. The methods should be innovative and of high scholarly, academic and practical value. The journal is devoted to all aspects of modern computational methods including mathematical formulations and theoretical investigations; interpolations and approximation techniques; error analysis techniques and algorithms; fast algorithms and real-time computation; multi-scale bridging algorithms; adaptive analysis techniques and algorithms; implementation, coding and parallelization issues; novel and practical applications. The articles can involve theory, algorithm, programming, coding, numerical simulation and/or novel application of computational techniques to problems in engineering, science, and other disciplines related to computations. Examples of fields covered by the journal are: Computational mechanics for solids and structures, Computational fluid dynamics, Computational heat transfer, Computational inverse problem, Computational mathematics, Computational meso/micro/nano mechanics, Computational biology, Computational penetration mechanics, Meshfree methods, Particle methods, Molecular and Quantum methods, Advanced Finite element methods, Advanced Finite difference methods, Advanced Finite volume methods, High-performance computing techniques.Join the conversation about this journal",Computer Science; Computer Science (miscellaneous); Mathematics; Computational Mathematics
JOURNAL OF SYSTEMS SCIENCE AND COMPLEXITY,SPRINGER HEIDELBERG,2.8,Q1,No,"The Journal of Systems Science and Complexity is dedicated to publishing high quality papers on mathematical theories, methodologies, and applications of systems science and complexity science. It encourages fundamental research into complex systems and complexity and fosters cross-disciplinary approaches to elucidate the common mathematical methods that arise in natural, artificial, and social systems. Topics covered are: complex systems, systems control, operations research for complex systems, economic and financial systems analysis, statistics and data science, computer mathematics, systems security, coding theory and crypto-systems, other topics related to systems science.Join the conversation about this journal",Computer Science; Computer Science (miscellaneous); Information Systems
COMPUTATIONAL AND APPLIED MATHEMATICS,SPRINGER HEIDELBERG,2.5,Q1,Yes,"Computational & Applied Mathematics began to be published in 1981. This journal was conceived as the main scientific publication of SBMAC (Brazilian Society of Computational and Applied Mathematics). The objective of the journal is the publication of original research in Applied and Computational Mathematics, with interfaces in Physics, Engineering, Chemistry, Biology, Operations Research, Statistics, Social Sciences and Economy. The journal has the usual quality standards of scientific international journals and we aim high level of contributions in terms of originality, depth and relevance.Join the conversation about this journal",Mathematics; Applied Mathematics; Computational Mathematics
CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,SPRINGER,2.3,Q2,No,"The Central European Journal of Operations Research provides an international readership with high quality papers that cover the theory and practice of OR and the relationship of OR methods to modern quantitative economics and business administration. The focus is on topics such as: - finance and banking - measuring productivity and efficiency in the public sector - environmental and energy issues - computational tools for strategic decision support - production management and logistics - planning and scheduling The journal publishes theoretical papers as well as application-oriented contributions and practical case studies. Occasionally, special issues feature a particular area of OR or report on the results of scientific meetings.Join the conversation about this journal",Decision Sciences; Management Science and Operations Research
ROAD MATERIALS AND PAVEMENT DESIGN,TAYLOR & FRANCIS LTD,3.0,Q2,No,"The international journal Road Materials and Pavement Design welcomes contributions on mechanical, thermal, chemical and/or physical properties and characteristics of bitumens, additives, bituminous mixes, asphalt concrete, cement concrete, unbound granular materials, soils, geo-composites, new and innovative materials, as well as mix design, soil stabilization, and environmental aspects of handling and re-use of road materials. The Journal also intends to offer a platform for the publication of research of immediate interest regarding design and modeling of pavement behavior and performance, structural evaluation, stress, strain and thermal characterization and/or calculation, vehicle/road interaction, climatic effects and numerical and analytical modeling. The different layers of the road, including the soil, are considered. Emerging topics, such as new sensing methods, machine learning, smart materials and smart city pavement infrastructure are also encouraged. Contributions in the areas of airfield pavements and rail track infrastructures as well as new emerging modes of surface transportation are also welcome.Join the conversation about this journal",Engineering; Civil and Structural Engineering
IET CONTROL THEORY AND APPLICATIONS,WILEY,2.3,Q2,Yes,"IET Control Theory & Applications is devoted to control systems in the broadest sense, covering new theoretical results and the applications of new and established control methods. Among the topics of interest are system modelling, identification and simulation, the analysis and design of control systems (including computer-aided design), and practical implementation. The scope encompasses technological, economic, physiological (biomedical) and other systems, including man-machine interfaces. Most of the papers published deal with original work from industrial and government laboratories and universities, but subject reviews and tutorial expositions of current methods are welcomed. Correspondence discussing published papers is also welcomed. Applications papers need not necessarily involve new theory. Papers which describe new realisations of established methods, or control techniques applied in a novel situation, or practical studies which compare various designs, would be of interest. Of particular value are theoretical papers which discuss the applicability of new work or applications which engender new theoretical applications.Join the conversation about this journal",Computer Science; Computer Science Applications; Human-Computer Interaction; Engineering; Control and Systems Engineering; Electrical and Electronic Engineering; Mathematics; Control and Optimization
IEEE VEHICULAR TECHNOLOGY MAGAZINE,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,7.2,Q1,No,"IEEE Vehicular Technology Magazine publishes peer-reviewed articles covering advances in areas of interest to the IEEE Vehicular Technology Society: The theoretical, experimental, application and operational aspects of electrical and electronic engineering relevant to motor vehicles and associated land transportation infrastructure: (a) Mobile radio shall include technologies appropriate to terrestrial mobile vehicular services. (b) Motor vehicles shall include the components, systems and auxiliary functions. (c) Land transportation shall include the components and systems used in both automated and non-automated facets of ground transport technology, especially as they relate to vehicular systems. The magazine focuses on intra-vehicular components, systems and applications. It includes tutorials, surveys, coverage of emerging technology in the aforementioned fields, and serves as a means for the IEEE VTS governing body to communicate with its membership.Join the conversation about this journal",Engineering; Automotive Engineering
ENVIRONMENTAL RESEARCH LETTERS,IOP Publishing Ltd,5.6,Q1,Yes,"The journal""s coverage will reflect the increasingly interdisciplinary nature of environmental science, recognizing wide-ranging contributions to the development of methods, tools and evaluation strategies relevant to the field. Numerical modelling or simulation, as well as theoretical and experimental approaches to environmental science will form the core of ERL""s content, however approaches from a range of physical and natural sciences, economics, and political, sociological and legal studies are strongly encouraged.Join the conversation about this journal","Energy; Renewable Energy, Sustainability and the Environment; Environmental Science; Environmental Science (miscellaneous); Medicine; Public Health, Environmental and Occupational Health"
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,SPRINGER HEIDELBERG,1.3,Q2,No,"The international journal Advances in Data Analysis and Classification (ADAC) is designed as a forum for high standard publications on research and applications concerning the extraction of knowable aspects from whatever types of data. It publishes articles on topics as, e.g., Structural, quantitative, or statistical approaches for the analysis of data, Advances in classification, clustering, and pattern recognition methods, Strategies for modeling complex data and mining large data sets, Methods for the extraction of knowledge from whatever type of data, and Applications of advanced methods in specific domains of practice. In particular, this comprises the consideration and handling of new data types as well as the analysis of complex structures such as text data and webfiles. Whereas the discussion of theoretical, statistical, or algorithmic advances in methodology is a major issue (e.g., in classification and clustering), the journal encourages strongly the publication of applications that illustrate how new domain-specific knowledge can be made available from data by skillful use of data analysis methods. In addition to contributed papers on specific topics, the journal also publishes survey papers that outline, and illuminate, the basic ideas and techniques of special approaches. On occasion, specialized topics will be presented in a special issue. The journal is supported by several scientific societies which aim to foster the area of classification and data analysis.Join the conversation about this journal",Computer Science; Computer Science Applications; Mathematics; Applied Mathematics; Statistics and Probability
CHINA AND WORLD ECONOMY,WILEY,3.6,Q1,No,"China & World Economy aims to take the leading role in promoting the discussion on Chinese economy and its interaction with the world economy. After more than four decades of significant development, China has become the second largest economy in the world and the driving force of the world economy. In-depth analysis on China’s development and exploring the experiences and lessons learned brings inspiration to a wide range of countries in the world. Nevertheless, identifying the existing problems, examining the reasons hidden behind, tracking the emerging issues of the economy and drawing policy implication with forward looking is of great value to not only China but also the world.Join the conversation about this journal","Economics, Econometrics and Finance; Economics, Econometrics and Finance (miscellaneous)"
SUSTAINABILITY SCIENCE,SPRINGER JAPAN KK,5.3,Q1,No,"The journal Sustainability Science offers insights into interactions within and between nature and the rest of human society, and the complex mechanisms that sustain both. The journal promotes science based predictions and impact assessments of global change, and seeks ways to ensure that such knowledge can be understood by society and be used to strengthen the resilience of global natural systems (such as ecosystems, ocean and atmospheric systems, nutrient cycles), social systems (economies, governments, industry) and human systems at the individual level (lifestyles, health, security, and human values).Join the conversation about this journal","Environmental Science; Ecology; Global and Planetary Change; Management, Monitoring, Policy and Law; Nature and Landscape Conservation; Social Sciences; Geography, Planning and Development; Health (social science); Sociology and Political Science"
IET INTELLIGENT TRANSPORT SYSTEMS,WILEY,2.5,Q2,Yes,"IET Intelligent Transport Systems is an interdisciplinary journal devoted to research into the practical applications of ITS and infrastructures. The scope of the journal includes the following: Sustainable Traffic Solutions; Deployments with enabling technologies; Pervasive Monitoring Applications; Demonstrations and evaluation; Economic and behavioural analyses of ITS services and scenarios; Data Integration and analytics; Information collection and processing; Image processing applications in ITS; ITS aspects of electric vehicles; Autonomous Vehicles; Connected Vehicle Systems; In-vehicle ITS, safety and vulnerable road user aspects; Mobility as a Service Systems; Traffic management and control; Public transport systems technologies; Fleet and public transport logistics; Emergency and incident management; Demand management and electronic payment systems; Traffic related Air Pollution Management; Policy and institutional issues; Interoperability, standards and architectures; Funding scenarios; Enforcement; Human machine interaction; Education, training and outreach.Join the conversation about this journal",Engineering; Mechanical Engineering; Environmental Science; Environmental Science (miscellaneous); Social Sciences; Law; Transportation
IET RENEWABLE POWER GENERATION,INST ENGINEERING TECHNOLOGY-IET,2.9,Q2,Yes,"IET Renewable Power Generation brings together the topics of renewable energy technology, power generation and systems integration. Other technologies having a direct role in sustainable power generation such as fuel cells and energy storage will also be covered, as will system control approaches such as demand side management, that facilitate the integration of renewable sources into power systems, both large and small. The journal provides a forum for the presentation of new research, development and applications of renewable power generation. Demonstrations and experimentally based research are particularly welcome.Join the conversation about this journal","Energy; Renewable Energy, Sustainability and the Environment"
SPACE AND CULTURE,SAGE PUBLICATIONS INC,1.2,Q2,No,"Space and Culture is an interdisciplinary journal that fosters the publication of reflections on a wide range of socio-spatial arenas such as the home, the built environment, architecture, urbanism, and geopolitics. it covers Sociology, in particular, Qualitative Sociology and Contemporary Ethnography; Communications, in particular, Media Studies and the Internet; Cultural Studies; Urban Studies; Urban and human Geography; Architecture; Anthropology; and Consumer Research. Articles on the application of contemporary theoretical debates in cultural studies, discourse analysis, virtual identities, virtual citizenship, migrant and diasporic identities, and case studies are encouraged.Join the conversation about this journal","Arts and Humanities; Arts and Humanities (miscellaneous); Business, Management and Accounting; Tourism, Leisure and Hospitality Management; Social Sciences; Cultural Studies; Geography, Planning and Development; Urban Studies"
REVISTA DE ESTUDIOS SOCIALES,UNIV ANDES,1.0,Q2,Yes,"Revista de Estudios Sociales (rev. estud.soc.) is an indexed publication of a periodical nature, which adheres to international standards of quality, positioning, periodicity and availability on line. Its objective is to contribute to the dissemination of the research, analyses and opinions that the national and international academic community elaborates. As a social sciences journal, it publishes the results of investigations, reflections on relevant topics, theoretical revisions and reviews, which contribute to pertinent debates about sociological, historical, anthropological, cultural and gender study subjects, as well as articles on political science, philosophy, psychology and education. Is a quarterly publication (January-March, April-June, July-September, October-December) that comes out at the beginning of each of these periods, created in1998 and funded by the School of Social Sciences of the Universidad de los Andes (Colombia). All of its digital contents are of open access through its website. The printed version has a cost and may be acquired at specific outlets. The Journal publisehs articles in Spanish, English and Portuguese.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); History; Social Sciences; Cultural Studies; Gender Studies; Social Sciences (miscellaneous); Sociology and Political Science
APPLIED MATHEMATICS A JOURNAL OF CHINESE UNIVERSITIES SERIES B,ZHEJIANG UNIV PRESS,1.3,Q2,No,"Applied Mathematics, A Journal of Chinese Universities, Series B seeks to promote the integration of mathematics with other scientific disciplines, expanding its fields of study and promoting the development of relevant interdisciplinary subjects. The journal mainly publishes original research papers which apply mathematical concepts, theories and methods to other subjects such as physics, chemistry, biology, information science, energy, environmental science, economics, and finance. In addition, the latest developments and trends in which mathematics interacts with other disciplines are also reported. Readers include professors and students, professionals in applied mathematics, and engineers at research institutes and in industry.Join the conversation about this journal",Mathematics; Applied Mathematics
PUBLIC POLICY AND ADMINISTRATION,SAGE PUBLICATIONS LTD,3.2,Q1,No,"Public Policy and Administration is the journal of the UK Joint University Council (JUC) Public Administration Committee (PAC). The journal aims to publish original peer-reviewed material within the broad field of public policy and administration. This includes recent developments in research, scholarship and practice within public policy, public administration, government, public management, administrative theory, administrative history, and administrative politics. The journal seeks to foster a pluralistic approach to the study of public policy and administration. International in readership, Public Policy and Administration welcomes submissions for anywhere in the world, from both academic and practitioner communities.Join the conversation about this journal",Social Sciences; Public Administration; Sociology and Political Science
CITY AND COMMUNITY,SAGE PUBLICATIONS INC,3.0,Q1,No,"City & Community (C&C) aims to advance urban sociological theory, promote the highest quality empirical research on communities and urban social life, and encourage sociological perspectives on urban policy. It welcomes contributions that employ quantitative and qualitative methods as well as comparative and historical approaches. The journal encourages manuscripts exploring the interface of global and local issues, locally embedded social interaction and community life, urban culture and the meaning of place, and sociological approaches to urban political economy. The journal also seeks articles on urban spatial arrangements, social impacts of local natural and built environments, urban and rural inequalities, virtual communities, and other topics germane to urban life and communities that will advance general sociological theory.Join the conversation about this journal",Social Sciences; Urban Studies
GLOBALIZATIONS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.0,Q1,No,"Globalizations seeks to publish the best work that contributes to constructing new meanings of globalization, brings fresh ideas to the concept, broadens its scope, and has an impact upon shaping the debates and practices of the future. The journal is dedicated to opening the widest possible space for discussion of alternatives to narrow understandings of global processes and conditions. The move from the singular to the plural is deliberate and implies scepticism of the idea that there can ever be a single theory or interpretation of globalization. Rather, the journal seeks to encourage the exploration and discussion of multiple interpretations and multiple processes that may constitute many possible globalizations, many possible alternatives. The journal is open to all fields of knowledge, including the natural, environmental, medical and public health sciences, as well as the social sciences and the humanities. Globalizations encourages multidisciplinary research and looks to publish contributions from all regions of the world. The articles and special issues focus on acute issues of the moment and on deep long-term structural shifts. The journal uses a double-blind, peer reviewed process. Its impact factor and ranking are included in Thomson Reuters' Journals Citation Report. Join the conversation about this journal","Economics, Econometrics and Finance; Economics, Econometrics and Finance (miscellaneous); Environmental Science; Management, Monitoring, Policy and Law; Social Sciences; Geography, Planning and Development; Public Administration; Sociology and Political Science"
GLOBAL ECONOMIC REVIEW,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.6,Q1,No,"Global Economic Review publishes scholarly economic research, both theoretical and empirical, on issues of vital concern to businesses, governments, and decision makers in Asia and the world. Particular focus is given to policy oriented research that highlights the dynamics of Korean and East Asian economies and industries. The journal's coverage includes the following subject areas: international trade and finance, comparative economic and industrial studies of emerging markets, issues of corporate, public and global governance, and other economic and business-related issues in Korea and East Asia.Join the conversation about this journal","Business, Management and Accounting; Business and International Management; Economics, Econometrics and Finance; Economics, Econometrics and Finance (miscellaneous); Social Sciences; Political Science and International Relations"
POLICY AND SOCIETY,OXFORD UNIV PRESS,6.1,Q1,Yes,"Policy and Society is a leading international journal that publishes original and innovative research addressing critical issues in policy theory and practice at the local, national and international levels. It seeks to understand the origin, workings and implications of policies within their broader political, social and economic contexts.Join the conversation about this journal",Social Sciences; Political Science and International Relations; Public Administration; Sociology and Political Science
PUBLIC PERFORMANCE AND MANAGEMENT REVIEW,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.8,Q2,No,"Public Performance & Management Review (PPMR) is a leading peer-reviewed academic journal that addresses a broad array of influential factors on the performance of public and nonprofit organizations. Its objectives are to: Advance theories on public governance, public management, and public performance; Facilitate the development of innovative techniques and to encourage a wider application of those already established; Stimulate research and critical thinking about the relationship between public and private management theories; Present integrated analyses of theories, concepts, strategies, and techniques dealing with performance, measurement, and related questions of organizational efficacy; and Provide a forum for practitioner-academic exchange. Continuing themes include, but are not limited to: managing for results, measuring and evaluating performance, designing accountability systems, improving budget strategies, managing human resources, building partnerships, facilitating citizen participation, applying new technologies, and improving public sector services and outcomes. Published since 1975, Public Performance & Management Review is a highly respected journal, receiving international ranking. Scholars and practitioners recognize it as a leading journal in the field of public administration.Join the conversation about this journal","Business, Management and Accounting; Strategy and Management; Social Sciences; Public Administration"
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ASSOC COMPUTING MACHINERY,4.8,Q1,No,"TKDD welcomes papers on a full range of research in the knowledge discovery and analysis of diverse forms of data. Such subjects include, but are not limited to: scalable and effective algorithms for data mining and big data analysis, mining brain networks, mining data streams, mining multi-media data, mining high-dimensional data, mining text, Web, and semi-structured data, mining spatial and temporal data, data mining for community generation, social network analysis, and graph structured data, security and privacy issues in data mining, visual, interactive and online data mining, pre-processing and post-processing for data mining, robust and scalable statistical methods, data mining languages, foundations of data mining, KDD framework and process, and novel applications and infrastructures exploiting data mining technology including massively parallel processing and cloud computing platforms. TKDD encourages papers that explore the above subjects in the context of large distributed networks of computers, parallel or multiprocessing computers, or new data devices. TKDD also encourages papers that describe emerging data mining applications that cannot be satisfied by the current data mining technology.Join the conversation about this journal",Computer Science; Computer Science (miscellaneous)
VIRTUAL AND PHYSICAL PROTOTYPING,TAYLOR & FRANCIS LTD,8.8,Q1,Yes,"Virtual and Physical Prototyping is online only. We welcome authors to submit supplementary data sets, colour images, animation and videos to publish with your articles to enhance the content experience of the journal. Virtual and Physical Prototyping provides an international forum for professionals and academics to exchange novel ideas and disseminate knowledge covering the full range of activities related to the multi-disciplinary area of virtual and rapid prototyping. The scope of VPP includes: Design for additive manufacturing: topological optimisation, lightweight, biomimetic design, functionally graded structures, etc. 4D printing: smart materials, shape memory polymers/alloys, deployable structures, etc. Multi-material printing: 3D printing of multiple metals, polymers, ceramics, composites, etc. Hybrid manufacturing: combination of additive and subtractive technologies Functional 3D printing: functional design, functional prototyping, etc. As well as the following topics: CAD and 3D data acquisition technologies Virtual environments and virtual reality Rapid tooling and rapid manufacturing Quality control and AM standards Concurrent engineering Bioprinting and biofabrication Concrete printing Miscellaneous: e-manufacturing/Internet of things, legal perspectives, economics, social and environmental implications, case studies, etc. All published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees.Join the conversation about this journal",Computer Science; Computer Graphics and Computer-Aided Design; Signal Processing; Engineering; Industrial and Manufacturing Engineering; Mathematics; Modeling and Simulation
CARBON BALANCE AND MANAGEMENT,BMC,5.8,Q1,Yes,"Carbon Balance and Management is an open access, peer-reviewed online journal that encompasses all aspects of research aimed at developing a comprehensive policy relevant to the understanding of the global carbon cycle. The global carbon cycle involves important couplings between climate, atmospheric CO2 and the terrestrial and oceanic biospheres. The current transformation of the carbon cycle due to changes in climate and atmospheric composition is widely recognized as potentially dangerous for the biosphere and for the well-being of humankind, and therefore monitoring, understanding and predicting the evolution of the carbon cycle in the context of the whole biosphere (both terrestrial and marine) is a challenge to the scientific community. This demands interdisciplinary research and new approaches for studying geographical and temporal distributions of carbon pools and fluxes, control and feedback mechanisms of the carbon-climate system, points of intervention and windows of opportunity for managing the carbon-climate-human system. Carbon Balance and Management is a medium for researchers in the field to convey the results of their research across disciplinary boundaries. Through this dissemination of research, the journal aims to support the work of the Intergovernmental Panel for Climate Change (IPCC) and to provide governmental and non-governmental organizations with instantaneous access to continually emerging knowledge, including paradigm shifts and consensual views.Join the conversation about this journal","Earth and Planetary Sciences; Earth and Planetary Sciences (miscellaneous); Environmental Science; Global and Planetary Change; Management, Monitoring, Policy and Law"
ECONOMIC ANALYSIS AND POLICY,ELSEVIER,8.7,Q1,No,"Economic Analysis and Policy publishes articles from all branches of economics. It features contributions that have policy relevance, both theoretical and applied. EAP particularly seeks to publish passionate, critical, and controversial articles. It is open for orthodox but also unorthodox approaches. The journal has three main sections. They are: Policy Debates and Controversies This section will contain highly policy relevant articles that are of general interest to economists. We will strive to obtain opposing views on current topics. Recent Trends in Economic Research This section will contain research articles from all fields of economics, similar to those published in other general interest economics journals, such as the American Economic Review, Quarterly Journal of Economics, the Economic Journal, or the Economic Record. These articles will not necessarily be easily accessible to non-academic economists. We expect authors to provide the main insights in a non-technical introduction and in the conclusions. Comments and Discussions of Past and Present Contributions to Economics This section has two aims. On the one hand it is a platform to critically discuss recent contributions to the economic literature. This section will contain contributions that revalidate econometric articles and/or discuss the importance of recent findings in economics. On the other hand, it will contain a critical appreciation of classic contributions to the economic literature. We will invite original authors as well as scholars that work in the field to review the importance of classic contributions to modern economics.Join the conversation about this journal","Economics, Econometrics and Finance; Economics and Econometrics; Economics, Econometrics and Finance (miscellaneous)"
IEEE INDUSTRIAL ELECTRONICS MAGAZINE,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,4.1,Q2,No,"IEEE Industrial Electronics Magazine (IEM) publishes peer-reviewed articles that present emerging trends and practices in industrial electronics product research and development, key insights, and tutorial surveys in the field of interest to the membership of the IEEE Industrial Electronics Society (IEEE/IES). IEM is limited to the scope of the IES which is given as theory and applications of electronics, controls, communications, instrumentation and computational intelligence to industrial and manufacturing systems and processes.Join the conversation about this journal",Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering
OPTIMIZATION LETTERS,SPRINGER HEIDELBERG,1.1,Q2,No,"Optimization Letters is an international journal covering all aspects of optimization, including theory, algorithms, computational studies, and applications, and providing an outlet for rapid publication of short communications in the field. Originality, significance, quality and clarity are the essential criteria for choosing the material to be published. Optimization Letters has been expanding in all directions at an astonishing rate during the last few decades. New algorithmic and theoretical techniques have been developed, the diffusion into other disciplines has proceeded at a rapid pace, and our knowledge of all aspects of the field has grown even more profound. At the same time one of the most striking trends in optimization is the constantly increasing interdisciplinary nature of the field. Optimization Letters aims to communicate in a timely fashion all recent developments in optimization with concise short articles (limited to a total of ten journal pages). Such concise articles will be easily accessible by readers working in any aspects of optimization and wish to be informed of recent developments.Join the conversation about this journal","Business, Management and Accounting; Business, Management and Accounting (miscellaneous); Mathematics; Control and Optimization"
MOBILITIES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.3,Q1,No,"Mobilities examines the large-scale movements of people, objects, capital, and information across the world, as well as more local processes of daily transportation, movement through public and private space and the travel of material objects in everyday life. New transportation and digital infrastructures and novel social and cultural practices pose important challenges for coordinating and governing mobilities and for mobility rights and questions of ‘access’. These ‘mobility’ issues have generated new research methods and theories. Mobilities publishes original, theoretically-informed research which is international in scope. The journal addresses major topical issues and fosters scholarly debate around the ‘mobility’ turn. Papers in the following areas would be considered for publication in Mobilities: Mobile spatiality and temporality; Sustainable and alternative mobilities; Mobile rights and risks; New social networks and mobile media; Immobilities and social exclusions; Tourism and travel mobilities; Migration and diasporas framed in terms of wider mobilities theory; Transportation and digital technologies; Transitions in complex systems; Climate change and transportation energyJoin the conversation about this journal","Social Sciences; Demography; Geography, Planning and Development; Sociology and Political Science"
INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,ELSEVIER SCI LTD,5.2,Q2,No,"The International Journal of Greenhouse Gas Control is a peer reviewed journal focusing on applied science and engineering advances in control of greenhouse gas emissions and reductions of their atmospheric concentrations through carbon dioxide capture, transport and storage. The Journal publishes results of experimental and pilot studies, technology demonstrations, process design and optimization, and techno-economic, policy, and life-cycle analyses relevant to applications in the power sector, major resource, manufacturing and production industries, and negative emissions technologies. Original research, review and comment papers are included. The scope of the journal (whilst not exclusive to) includes: CO2 Capture; CO2 Transport; CO2 Geological Storage; Alternative storage options; Alternative mitigation options/negative emission options; System Integration and Infrastructure developmen; Integrated Assessments, economic instruments that would induce commercial CCS deploymentJoin the conversation about this journal","Energy; Energy (miscellaneous); Engineering; Industrial and Manufacturing Engineering; Environmental Science; Management, Monitoring, Policy and Law; Pollution"
JOURNAL OF APPLIED ECONOMICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.0,Q2,Yes,"The Journal of Applied Economics publishes papers which make a significant and original contribution to applied issues in micro and macroeconomics. The primary criteria for selecting papers are quality and importance for the field. Papers based on a meaningful and well-motivated research problem that make a concrete contribution to empirical economics or applied theory, in any of its fields, are especially encouraged. The wide variety of topics that are covered in the Journal of Applied Economics include: -Industrial Organization -International Economics -Labour Economics -Finance -Money and Banking -Growth -Public Finance -Political Economy -Law and Economics -Environmental Economics Join the conversation about this journal","Economics, Econometrics and Finance; Economics, Econometrics and Finance (miscellaneous)"
SERVICE BUSINESS,SPRINGER HEIDELBERG,4.1,Q2,No,"The mission of Service Business is to be an outlet for the most advanced research in business related to the service sector. The journal is designed to be international and multidisciplinary. Service Business focuses on business research for the service sector and provides a means of communication for those working in the business field of service and service industries irrespective of discipline, functional area, sector or nationality. Service Business is a journal for issues related to business in the service sector of the economy, focusing on both the profit and non-profit areas of the sector. Authors share their experiences in developing, implementing, and evaluating their business decisions and strategies and explore not only the latest research and methodologies in the field, but also examine the theoretical and managerial implications, and future research opportunities in service sector. An editorial review board of leading international scholars and practitioners assures content which encompasses rigorous conceptual and empirical papers, practice-oriented papers, teaching-oriented papers, special issues, case studies, book reviews, and conference reports. Every article published in the SB is subject to a double blind review process to ensure its relevance and quality.Join the conversation about this journal","Business, Management and Accounting; Business and International Management; Strategy and Management"
SPATIAL ECONOMIC ANALYSIS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.2,Q2,No,"Spatial Economic Analysis is a pioneering economics journal dedicated to the development of theory and methods in spatial economics, published by two of the world's leading learned societies in the analysis of spatial economics, the Regional Studies Association and the British and Irish Section of the Regional Science Association International. A spatial perspective has become increasingly relevant to our understanding of economic phenomena, both on the global scale and at the scale of cities and regions. The growth in international trade, the opening up of emerging markets, the restructuring of the world economy along regional lines, and overall strategic and political significance of globalization, have re-emphasised the importance of geographical analysis. Spatial variations in economic development within cities and regions are also highly topical subjects for intellectual enquiry and have long been the focus of policy initiatives by national, regional and local governments. The awakening emphasis on space among economists has been stimulated by the emergence of a new breed of theory, namely ’new economic geography’or ’geographical economics’. This new theory adds a significant new dimension to the already existing theoretical tools of spatial economics, which broadly aim to analyse the role of geography and location in economic phenomena. Additionally, spatial economic analysis is increasingly being supported by the emergence of new analytical methods, with an explosion of interest in new models and techniques of spatial data analysis and data visualisation (GIS). Spatial econometrics is becoming increasingly recognised as a valuable sub-discipline among mainstream econometricians.Join the conversation about this journal","Decision Sciences; Statistics, Probability and Uncertainty; Earth and Planetary Sciences; Earth and Planetary Sciences (miscellaneous); Economics, Econometrics and Finance; Economics, Econometrics and Finance (miscellaneous); Social Sciences; Geography, Planning and Development"
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,5.4,Q1,No,"IEEE Transactions on Network and Service Management will publish (online only) peerreviewed archival quality papers that advance the state-of-the-art and practical applications of network and service management. Theoretical research contributions (presenting new concepts and techniques) and applied contributions (reporting on experiences and experiments with actual systems) will be encouraged. These transactions will focus on the key technical issues related to: Management Models, Architectures and Frameworks; Service Provisioning, Reliability and Quality Assurance; Management Functions; Enabling Technologies; Information and Communication Models; Policies; Applications and Case Studies; Emerging Technologies and Standards.Join the conversation about this journal",Computer Science; Computer Networks and Communications; Engineering; Electrical and Electronic Engineering
